@relation 'Ant16-Arrondi3-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-unset-class-temporarily'

@attribute #BugsBinary {0,1}
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric

@data
0,0.954028,0.979318,0.964526,0.921136,0.942364,0.955572,0.9577,0.955483,0.859923,0.917785
0,0.258009,0.984492,0.946268,0.858035,0.934147,0.280459,0.313097,0.279986,0.480415,0.878729
0,0.924195,0.979318,0.964526,0.954795,0.975299,0.926792,0.930129,0.92668,0.859923,0.95284
0,0.683056,0.974149,0.946821,0.887142,0.93413,0.693035,0.707162,0.692878,0.663452,0.917691
0,0.996819,0.989656,0.97838,0.941263,0.958831,0.996982,0.997152,0.996952,0.872525,0.947512
0,0.683624,0.979318,0.932986,0.842154,0.93413,0.693532,0.707645,0.693344,0.363712,0.862313
0,0.96081,0.989656,0.972476,0.945138,0.975299,0.962163,0.963872,0.962136,0.785222,0.96037
0,0.996399,0.999995,1,0.995068,0.991766,0.996597,0.99668,0.996538,1,0.994879
0,0.806084,0.994826,0.981577,0.943115,0.967065,0.812191,0.820783,0.812087,0.818155,0.967016
0,0.806598,0.994826,0.964996,0.90642,0.967065,0.812689,0.821254,0.812617,0.570997,0.937995
0,0.860527,0.989656,0.9754,0.968427,0.991766,0.865081,0.871183,0.864924,0.840018,0.967016
0,0.775193,0.989656,0.965429,0.929673,0.975299,0.782338,0.792264,0.782182,0.685635,0.944302
0,0.712502,0.989656,0.964069,0.926664,0.975299,0.721581,0.73427,0.721381,0.665815,0.941196
0,0.593749,0.979323,0.928608,0.84967,0.950606,0.606462,0.624461,0.606179,0.296398,0.861145
0,0.987654,0.999995,1,0.995068,0.991766,0.988127,0.988599,0.988062,1,0.994879
0,0.682651,0.984487,0.951263,0.920729,0.983533,0.692733,0.706708,0.692446,0.583983,0.917173
0,0.944399,0.994826,0.98607,0.978193,0.991766,0.946279,0.948668,0.946182,0.899817,0.977229
0,0.958238,0.989656,0.979899,0.978193,0.991766,0.95973,0.961503,0.959643,0.899817,0.977229
0,0.679055,0.984492,0.939239,0.868171,0.95884,0.689148,0.703367,0.688957,0.363712,0.889442
0,0.996866,0.994826,0.99226,0.991635,0.991766,0.997096,0.997156,0.997037,0.979925,0.991293
0,0.443977,0.984487,0.970703,0.963224,0.983533,0.461269,0.485666,0.460807,0.859923,0.961613
