@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-2,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1'

@attribute #BugsBinary numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute #Bugs numeric

@data
1,687,180.000808,183.967388,126.826653,121.001202,673.951037,663.364907,674.680665,43.908997,130.648383,3
0,1951.882425,186.000037,197.36261,140.470638,124.000056,1946.952747,1943.148219,1947.081149,70.228199,142.239235,0
0,1887,0.18096,63,63,0.18096,1887,1887.193154,1887,68.541958,63,0
0,2042.330532,195,207.183494,143.265488,125,2036.839218,2033.179284,2036.839218,75.026662,143.265488,0
0,2045.221748,194,207.280004,150.840976,132,2040.274491,2036.17902,2040.274491,77.833155,150.840976,0
0,2049.298661,195,209.652093,156.284996,136,2044.528307,2040.192148,2044.462032,81.932899,155.415572,0
0,1771.327751,191.00013,201.121854,141.767415,127.000196,1765.573561,1761.150192,1765.865793,67.067131,145.361618,0
0,1931.665861,193.00008,205.302216,151.182009,134.000115,1926.665513,1922.189637,1926.665513,75.026662,151.182009,0
0,1986.593567,195.000034,208.925824,155.309369,136.000048,1981.672274,1977.19827,1981.603896,80.05623,154.434452,0
0,576.924605,171.002644,179.32373,123.438244,111.004072,562.069391,551.613089,562.26773,59.933296,124.338248,0
0,2029.294459,194.000001,207.992788,154.434452,135.000002,2024.506113,2020.19405,2024.439676,80.05623,153.561063,0
0,2036.167478,193,203.334699,145.797805,131,2031.228692,2027.19338,2031.164444,69.856997,144.899966,0
1,966.069356,191.000398,198.486775,118.072012,105.000724,952.803233,947.000528,953.717988,54.009258,125.23977,3
0,1639.518222,194.000041,206.242576,151.182009,134.000059,1633.505433,1628.207603,1633.587769,74.672619,152.069063,0
0,1752.880201,195.000041,206.516343,145.825238,129.000061,1746.769876,1742.126574,1747.223226,71.168813,151.158857,0
