@relation 'Ant13-Arrondi3-weka.filters.unsupervised.attribute.Remove-R1-3,5-20,31-32'

@attribute #BugsBinary numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric

@data
1,127,127.609,158.003,154.013,122.634,122,1480,19.001,1482.982,95.901
0,132,132.23,163.218,196.105,171.177,171,2096,18,2098.197,97.673
0,0.181,2.171,4,158.051,158.015,158,2040,20.001,2040.004,20.396
0,138,138.591,168.68,203.593,179.456,179,2186,20,2188.151,99.04
0,137,137.595,169.614,207.663,182.449,182,2189,20,2191.283,101.98
0,138,138.591,172.2,212.615,186.439,186,2193,21,2195.418,105.119
1,134,134.577,164.259,180.945,154.502,154,1936,17.001,1938.329,96.509
0,138,138.584,172.2,207.386,180.448,180,2148,21,2150.468,105.119
1,114.003,114.465,139.846,157.436,135.393,135.002,786,19.016,790.163,83.199
0,136,136.6,168.217,199.324,173.472,173,2180,21,2182.247,101.203
1,134,134.415,155.554,146.185,123.452,123,1371,1.03,1373.274,79.006
0,133,133.595,142.804,183.521,176.45,176,2124,21,2124.636,56.08
1,137,137.562,167.287,141.534,104.739,104,940,14,944.889,97.015
0,137,137.594,169.614,197.231,170.479,170,2134,18,2136.342,101.607
0,136,136.531,169.402,198.6,171.423,171,2093,21,2095.436,103.16
1,48.006,48.794,48,0,8.764,0.751,0.751,14.02,0,14
1,130.001,130.606,154.777,140.801,113.696,113.001,1691,14.009,1693.085,85.159
1,133,133.595,163.444,186.938,161.492,161,2079,18,2081.169,96.69
0,128,128.585,153.652,162.929,139.539,139,1920,16.001,1921.881,86.493
0,35.001,35.8,43.012,164.906,163.174,163,2068,16.001,2068.151,29.682
0,133,133.605,164.615,196.596,171.471,171,2111,19,2113.227,98.843
1,134,134.581,163.683,149.305,116.67,116,1753,13.003,1755.518,94.895
1,136,136.592,167.048,163.003,131.615,131,1550,15,1553.032,98.153
1,135,135.587,165.653,178.933,151.525,151,1920,14.003,1922.399,97.015
0,138,138.59,168.107,191.76,166.491,166,2117,14.004,2119.176,97.015
1,133.001,133.613,162.29,170.581,143.571,143.001,2025,11.011,2027.134,93.648
0,137,137.595,169.027,208.943,184.444,184,2191,19,2193.236,100.807
1,136,136.599,165.895,194.743,170.479,170,2068,14,2070.181,96.026
1,133.002,133.589,158.382,135.724,105.745,105.002,1450,8.026,1452.548,86.371
0,138.001,138.591,167.538,193,168.486,168.001,2061,14.006,2063.188,96.026
0,138.001,138.591,167.538,193.871,169.483,169.001,2096,14.006,2098.152,96.026
0,138.001,138.591,166.973,188.162,163.501,163.001,1989,13.013,1991.22,94.895
1,138.001,138.591,166.973,191.638,167.489,167.001,2073,13.009,2075.13,94.895
0,138,138.589,169.257,191.909,165.493,165,2106,16.001,2108.279,99.298
1,134.001,134.596,161.978,152.201,122.654,122.001,1551,10.007,1553.667,91.548
0,136,136.589,167.048,179.471,151.531,151,1928,15,1930.439,98.153
0,136,136.597,168.217,192.421,165.492,165,2057,17,2059.381,100.449
1,136,136.59,163.637,174.591,149.539,149,1883,9.007,1885.198,91.444
0,132.001,132.611,162.631,166.715,137.589,137.001,1614,13.011,1616.793,95.885
0,135,135.603,168.003,196.37,169.482,169,2041,18,2043.448,101.607
0,136,136.597,166.469,190.032,164.495,164,2046,14.001,2048.251,97.015
0,134,134.603,166.012,175.011,145.557,145,1833,16.002,1835.618,99.298
1,130.001,130.616,155.322,155.322,130.616,130.001,1787,8.018,1789.02,85.376
1,120.001,120.562,143.122,134.034,109.619,109.001,1627,5.014,1628.869,78.16
0,137,137.572,167.287,186.59,160.49,160,2008,15,2010.294,97.165
1,134,134.603,160.863,169.284,144.562,144,1798,9.003,1800.201,89.454
0,137,137.595,165.584,203.494,181.451,181,2188,21,2189.976,95.341
1,135,135.577,166.235,187.963,161.485,161,2024,20.001,2026.323,99.04
0,136,136.599,169.402,206.4,180.453,180,2164,19,2166.356,102.772
1,135,135.602,165.076,170.018,141.577,141,1932,13.005,1934.334,95.885
0,135,135.6,167.41,189.855,162.5,162,2040,17,2042.401,100.449
1,136.001,136.596,166.469,179.778,152.533,152.001,1567,14.012,1569.938,97.015
1,136.001,136.592,167.048,181.157,153.527,153,1789,15.005,1791.628,98.153
1,135,135.6,166.235,170.32,140.579,140,1799,15.001,1801.613,98.153
0,136,136.6,168.217,183.076,154.53,154,1978,17,1980.476,100.449
0,135,135.601,167.41,189.003,161.505,161,2036,17,2038.406,100.449
1,135,135.602,166.235,181.157,153.532,153,2029,16.002,2031.317,98.311
1,127.003,127.627,153.379,138.842,109.73,109.003,1754,4.081,1756.107,86.093
1,133.001,133.569,157.305,140,112.676,112.001,1643,8.02,1645.146,84.38
0,137,137.594,170.801,202.556,175.465,175,2125,20,2127.447,103.942
1,135.002,135.595,157.953,87.664,33.495,31.01,689,0.781,693.862,82
0,138,138.582,169.257,185.076,157.512,157,2017,16,2019.379,99.298
0,137,137.565,169.614,192.938,165.47,165,2046,19.001,2048.442,101.789
0,135,135.595,168.003,176.963,146.55,146,1922,18.001,1924.6,101.607
0,129,129.599,160.206,195.617,171.452,171,2101,20,2103.147,97.082
0,125,125.652,156.4,205.73,183.446,183,2179,18,2181.027,95.708
0,121.002,121.672,147.872,171.54,149.546,149.001,2029,15.015,2030.78,86.313
1,136,136.599,168.808,198.957,172.474,172,2109,18,2111.369,101.607
1,137,137.59,167.863,182.003,154.525,154,1868,15,1870.517,98.153
1,136,136.599,165.324,182.989,157.519,157,2025,12.004,2027.181,94.763
1,134.001,134.567,162.542,138.105,103.736,103.001,1535,12.007,1537.755,92.779
1,131,131.599,161.821,193.871,169.465,169,2100,19,2102.148,96.881
0,136,136.6,168.217,195,168.486,168,2086,17,2088.348,100.449
1,135.001,135.585,165.076,150.712,117.675,117.001,1561,13.008,1563.888,95.885
1,135.002,135.594,160.605,143.405,114.702,114.003,1518,5.058,1520.491,87.144
1,138,138.584,169.838,175.573,145.556,145,1957,17,1959.502,100.449
1,135.001,135.58,166.82,180.014,151.519,151.001,1886,16.009,1888.544,99.298
1,134.001,134.58,163.11,129.418,90.862,90.001,1159,11.008,1162.725,93.648
0,137,137.586,170.801,206.891,180.446,180,2154,21,2156.414,104.139
1,136,136.59,163.637,151.4,121.663,121,1610,9.006,1612.57,91.444
0,135,135.601,165.076,186.938,161.505,161,2036,14.001,2038.215,96.026
0,137,137.594,170.801,204.287,177.461,177,2135,20,2137.435,103.942
1,134,134.605,164.839,181.472,154.527,154,1893,17.001,1895.433,97.494
1,135.001,135.603,162.807,175.445,150.543,150.001,1818,9.02,1820.276,91.444
0,136,136.6,167.631,195.359,169.483,169,2102,16,2104.283,99.298
1,136,136.598,165.895,172.514,144.565,144,1951,13,1953.312,95.885
1,136,136.596,164.195,179.388,154.527,154,2004,10.003,2006.111,92.542
0,135,135.604,165.653,180.624,153.533,153,2030,14.003,2032.269,97.015
1,137,137.595,170.801,209.507,183.446,183,2190,21,2192.374,104.139
1,135.002,135.593,165.653,162.41,131.611,131.002,1603,14.015,1605.872,97.015
1,133.001,133.53,159.477,120.283,82.858,82.002,1013,8.025,1016.815,88.363
1,103.001,103,130.419,161.245,140,140.001,1745,18.004,1746.833,82
1,131.002,131.58,161.236,167.8,139.547,139.002,1916,13.02,1918.304,94.895
0,132,132.185,162.631,195.617,171.143,171,2095,18,2097.153,96.69
1,128,128.625,157.051,197.246,175.458,175,2134,20,2135.939,93.172
0,135,135.556,166.82,202.319,177.425,177,2146,19,2148.236,99.825
0,125.002,125.642,147.872,152.122,130.617,130.002,1840,13.021,1841.695,80.062
0,132,132.612,160.897,175.114,149.542,149,1908,13.004,1910.217,92.914
1,98.001,98.507,124.016,130.43,106.469,106.001,1500,13.006,1501.924,77.104
1,135.001,135.191,163.933,160.655,131.197,131.001,1732,15.008,1734.495,94.202
0,132,132.538,158.092,194.538,174.409,174,2138,19,2139.769,89.051
0,126.001,126.636,156.605,190.276,166.483,166.001,2083,14.012,2085.075,94.048
0,118,118.602,154.674,201.556,175.406,175,2125,20,2127.352,101.98
1,135.001,135.599,163.933,179.047,153.529,153.001,1995,13.015,1997.166,93.904
1,135,135.563,169.201,182.222,151.503,151,1839,21.002,1841.827,104.139
0,137,137.595,162.828,203.059,183.446,183,2190,21,2191.767,90.471
0,138,138.588,171.012,205.529,179.454,179,2173,20,2175.346,102.961
1,135,135.576,168.003,198.093,171.455,171,2056,20,2058.43,101.98
0,138,138.588,171.012,207.273,181.449,181,2177,20,2179.342,102.961
0,135,135.599,167.41,206.306,181.447,181,2169,20,2171.258,101
0,137,137.593,167.287,194.363,169.481,169,2118,14,2120.175,97.015
0,137,137.593,169.027,199.324,173.47,173,2128,17,2130.302,100.449
0,137,137.595,168.443,206.708,182.449,182,2189,20,2191.193,100.02
0,136,136.598,168.808,203.295,177.46,177,2150,19,2152.324,101.789
1,137,137.594,169.027,193.28,166.491,166,2049,17,2051.39,100.449
0,129,129.483,159.615,186.432,161.388,161,1916,19.002,1918.304,95.901
1,138,138.587,166.973,166.148,137.592,137,1811,12.003,1813.438,94.763
0,136.003,136.45,168.808,158.521,123.497,123.004,1666,19.024,1668.999,101.789
0,136,136.56,170,204.287,177.43,177,2112,21,2114.462,104.139
0,137,137.512,170.801,196.54,168.417,168,2097,21,2099.479,104.139
0,135,135.528,168.6,181.665,151.473,151,1576,21.002,1579.233,103.16
1,138,138.591,171.604,212.132,186.439,186,2169,21,2171.397,104.139
1,134.003,134.558,165.424,155.081,121.618,121.004,1446,19.023,1449.25,98.843
1,136.002,136.554,168.808,176.963,146.516,146.002,1589,19.013,1592.144,101.789
0,136.002,136.598,168.808,179.446,149.546,149.001,1756,19.011,1758.845,101.789
0,136,136.31,170,199.97,172.245,172,1919,21.002,1921.709,104.139
