Class Name,HasT,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC
org.apache.tools.tar.TarEntry,1,0,0,0,0,0,0,0,0,35,8,73,6,2,776,0.29855443,5,3788.576,422.001,430.475,498.303,491.001,3796.881,3765.163,3797.011,91.924,499.288,0,8
org.apache.tools.ant.types.FileSet,1,0,0,0,0,0,0,0,0,6,64,17,59,5,67,0.000162232,13,4493.114,414.001,429.409,449.69,435.001,4495.097,4474.114,4495.486,118.406,453.56,0,8
org.apache.tools.ant.util.regexp.JakartaOroMatcher,1,0,0,0,0,0,0,0,0,9,8,21,1,7,135,0.950135183,2,4426.45,425,439.256,503.391,491,4433.274,4406.102,4433.942,114.983,509.245,0,8
org.apache.tools.ant.util.regexp.JakartaOroRegexp,1,0,0,0,0,0,0,0,0,3,10,16,0,10,105,0.984771837,1,4456.408,426,441.775,502.802,489,4462.871,4436.082,4463.866,120.075,511.559,0,8
org.apache.tools.ant.taskdefs.AntStructure,1,0,0,0,0,0,0,0,0,8,6,36,1,6,182,0.926489586,1,4379.767,426,440.477,505.562,493,4386.79,4359.11,4387.242,116.211,509.463,0,11
org.apache.tools.ant.util.LoaderUtils,1,0,0,0,0,0,0,0,0,10,10,29,7,3,91,0.878833576,9,4469.589,418,432.231,501.22,489,4476.787,4450.13,4477.006,115.135,503.171,0,13
org.apache.tools.ant.taskdefs.condition.Contains,1,0,0,0,0,0,0,0,0,5,3,9,1,2,64,0.982259664,0,4497.317,427,442.215,509.157,496,4504.392,4477.137,4504.502,120.208,510.131,0,13
org.apache.tools.ant.taskdefs.email.EmailTask,1,0,0,0,0,0,0,0,0,32,16,97,2,14,941,0.002551098,3,3624.883,424.001,433.036,490.951,483.001,3632.257,3600.073,3634.008,90.956,503.746,0,14
org.apache.tools.ant.taskdefs.Deltree,1,0,0,0,0,0,0,0,0,4,3,18,0,3,147,0.942401755,2,4414.506,425,440.546,509.384,496,4421.906,4394.132,4422.131,120.88,511.332,0,14
org.apache.tools.ant.util.PackageNameMapper,1,0,0,0,0,0,0,0,0,2,1,6,0,1,20,0.994897959,1,4541.026,426,442.041,511.789,498,4548.345,4521.143,4548.345,123.369,511.789,0,15
org.apache.tools.ant.util.UnPackageNameMapper,1,0,0,0,0,0,0,0,0,2,1,6,0,1,20,0.994897959,1,4541.026,426,442.041,511.789,498,4548.345,4521.143,4548.345,123.369,511.789,0,15
org.apache.tools.ant.util.JAXPUtils,1,0,0,0,0,0,0,0,0,13,12,32,10,2,155,0.874744048,11,4405.684,416,429.54,498.616,487,4412.954,4386.14,4413.065,112.579,499.593,0,16
