@relation 'Ant17-Arrondi3-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30'

@attribute #BugsBinary numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric

@data
0,3788.576,422.001,430.475,498.303,491.001,3796.881,3765.163,3797.011,91.924,499.288
0,4493.114,414.001,429.409,449.69,435.001,4495.097,4474.114,4495.486,118.406,453.56
0,4426.45,425,439.256,503.391,491,4433.274,4406.102,4433.942,114.983,509.245
0,4456.408,426,441.775,502.802,489,4462.871,4436.082,4463.866,120.075,511.559
0,4379.767,426,440.477,505.562,493,4386.79,4359.11,4387.242,116.211,509.463
0,4469.589,418,432.231,501.22,489,4476.787,4450.13,4477.006,115.135,503.171
0,4497.317,427,442.215,509.157,496,4504.392,4477.137,4504.502,120.208,510.131
0,3624.883,424.001,433.036,490.951,483.001,3632.257,3600.073,3634.008,90.956,503.746
0,4414.506,425,440.546,509.384,496,4421.906,4394.132,4422.131,120.88,511.332
0,4541.026,426,442.041,511.789,498,4548.345,4521.143,4548.345,123.369,511.789
0,4541.026,426,442.041,511.789,498,4548.345,4521.143,4548.345,123.369,511.789
0,4405.684,416,429.54,498.616,487,4412.954,4386.14,4413.065,112.579,499.593
1,4366.537,423.001,436.818,504.906,493.001,4373.873,4346.111,4374.439,113.323,509.789
0,3953.373,420.001,430.832,487.545,478.001,3959.955,3931.073,3961.298,98.955,498.334
0,4075.326,426,438.99,503.289,492,4082.753,4053.119,4083.359,110.44,508.178
0,4349.91,426,439.973,505.123,493,4356.982,4329.118,4357.436,114.56,509.028
0,4454.417,426,441.249,509.157,496,4461.656,4434.138,4461.767,120.208,510.131
0,4400.668,426,441.511,509.384,496,4407.995,4380.14,4408.107,121.165,510.358
0,4259.357,426.001,439.477,496.879,485.001,4265.662,4238.062,4267.159,110.422,509.576
0,4397.682,426,441.511,506.463,493,4404.677,4377.11,4405.239,120.071,511.332
1,3466.537,420.001,426.469,465.914,460.001,3471.611,3441,3476.564,74,501.49
0,4348.817,425,438.508,507.622,496,4356.329,4328.142,4356.443,113.53,508.599
0,4457.403,426,440.99,506.983,494,4464.415,4437.115,4464.86,118.406,510.882
0,4467.073,423,438.354,506.235,493,4474.244,4447.108,4474.575,119.105,509.157
0,4432.422,425,439.005,505.123,493,4439.459,4412.116,4439.905,114.56,509.028
0,4420.574,426.001,440.477,505.562,493.001,4427.533,4400.109,4428.093,116.211,510.439
0,4450.34,425,440.546,509.384,496,4457.681,4430.13,4457.904,120.88,511.332
0,4466.362,426,441.775,507.666,494,4473.36,4446.115,4473.804,121.297,511.559
0,4487.362,427,441.956,508.932,496,4494.453,4467.137,4494.563,119.252,509.907
0,3660.177,420.001,433.17,480.829,469.001,3666.123,3636.027,3668.868,106.921,501.334
0,4056.326,425.001,436.378,496.961,487.001,4063.29,4034.077,4064.501,102.108,506.764
1,4493.335,427.001,442.476,506.463,493.001,4500.086,4473.114,4500.526,120.333,510.358
0,4417.492,425.001,440.284,504.288,491.001,4424.329,4397.096,4424.999,118.6,510.131
0,4479.303,426,441.775,506.693,493,4486.171,4459.108,4486.723,121.037,511.559
0,3704.208,414.001,424.099,494.631,486.001,3712.945,3681.114,3713.867,96.462,501.511
1,4349.91,426.001,440.732,501.886,489.001,4356.531,4329.091,4357.436,116.417,509.684
0,4299.784,412.001,425.92,492,480.001,4306.832,4280.105,4307.392,112.089,496.879
1,4108.043,425,436.606,500.1,490,4115.276,4086.096,4116.236,103.846,507.941
0,3667.36,422,429.148,486.296,480,3674.486,3643.066,3676.341,81.043,500.12
0,4280.07,414,428.622,480.01,467,4285.521,4260.161,4285.412,117.004,479.038
0,4432.518,426,441.511,507.437,494,4439.57,4412.116,4440.017,120.333,511.332
0,4535.767,423,438.883,504.747,491,4542.613,4516.143,4542.613,122.413,504.747
0,4442.09,422,436.354,506.317,494,4449.508,4422.147,4449.508,116.692,506.317
0,4457.924,421.001,435.901,502.861,490.001,4464.969,4438.115,4465.409,117.444,506.759
0,4440.195,423,437.069,503.171,491,4447.188,4420.155,4447.078,116.056,502.195
