@relation 'Ant15-Arrondi5-weka.filters.unsupervised.attribute.Remove-R1-4,6-17,29'

@attribute #Critical numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute Risk1 numeric

@data
0,3686.74124,294.0003,303.16992,200.17992,186.00047,3679.70393,3675.12245,3679.90829,79.84986,203.90194,21
1,3457.43749,293.00079,301.24575,191.26944,178.0013,3449.59548,3445.07025,3450.2355,73.37575,202.48457,24
1,2520.73719,290.00101,295.54864,177.40631,168.00175,2509.62945,2504.03375,2511.12266,58.46366,197.40821,21
0,1798.43488,152.00265,152,36,36.01117,1792.36157,1792.0904,1792.5401,18,44,16
0,3478.27831,292.00022,300.98671,194.23954,180.00035,3470.67083,3466.06982,3471.25871,76.24303,204.47494,15
0,3337.70969,291.00105,297.95469,186.33572,175.00175,3329.60208,3325.04872,3330.48135,66.48308,201.43734,13
0,3584.99344,293.00004,303.7252,193.32874,176.00006,3577.33211,3573.04534,3578.15497,82,208,10
0,3498.29173,293.00001,303.99013,202.87188,186.00002,3490.95861,3486.11245,3491.28343,85.70298,208.38666,8
0,3440.24476,290.00166,293.1706,173.41569,168.00287,3432.11422,3428.03282,3432.98835,45.54119,189.93157,9
1,3407.44861,291.00086,299.77492,191.08375,177.00142,3399.61086,3395.05891,3400.36851,74.72617,204.12006,11
0,4172.30068,293,305.92973,209.38959,190,4166.3346,4162.12302,4166.42629,93.6376,211.20606,9
0,3674.69972,293.00006,303.46334,198.40615,182.00009,3667.51864,3663.07862,3668.02849,82.56513,207.61744,6
0,3401.55626,292.00063,296.42031,183.24028,176.00104,3393.567,3389.05901,3394.32188,54.78138,196.7257,6
0,4091.79301,297,309.76281,207.57649,188,4085.32802,4081.11027,4085.51404,92.97311,211.20606,6
0,3573.03373,293.00004,302.69622,197.23083,182.00006,3565.64791,3561.08776,3566.11862,80.00625,205.56507,6
0,4108.53258,294,306.8876,206.67124,187,4102.26437,4098.10261,4102.44866,92.65528,210.29741,6
0,4054.89149,297,309.48021,204.43581,185,4048.22937,4044.09013,4048.5553,91.09336,210.79137,6
0,3994.05784,297.00002,308.65029,204.08822,186.00003,3987.34059,3983.09842,3987.62498,88.54377,209.57099,6
0,3668.95966,296.00003,308.24017,201.2958,182.00005,3661.52605,3657.07875,3662.03673,89.28606,210.38061,6
0,4188.54306,297,310.04838,208.0024,188,4182.22764,4178.10771,4182.40935,93.92018,211.62467,6
1,3539.06668,292.00152,298.30354,191.00262,181.00245,3531.64126,3527.0886,3532.11396,65.9242,199.552,14
1,3085.01426,272.0012,277.90826,169.84993,160.00204,3077.16249,3073.13683,3077.42652,63.95311,174.56804,8
1,4088.51232,293.00041,304.25811,201.44478,184.00065,4082.14894,4078.08288,4082.51736,86.02325,208.77739,5
1,4113.37732,292.00002,303.56713,202.76587,185.00003,4107.16861,4103.12478,4107.25918,88.95504,204.59228,5
0,3853.4796,284.00173,291.12197,193.86851,183.00268,3847.35468,3843.08795,3847.74349,69.07966,201.43734,4
0,4112.37985,292,304.68508,206.24742,187,4106.26022,4102.10251,4106.44433,91.70605,209.88092,4
0,2888.12223,275.00114,279.33134,179.80545,173.00181,2880.20034,2875.12678,2880.50499,55.9464,184.62123,11
0,3557.03753,280.00172,284.42925,149.60281,141.00342,3548.80219,3546.01142,3549.88338,50.80354,173.36666,6
0,2908.28214,267.00049,274.10399,176.26401,165.00079,2900.69664,2896.1452,2900.81109,68.44706,178.13759,6
0,3444.48443,293.0017,301.47968,192.56687,179.00278,3436.66481,3432.07051,3437.31072,74.33034,203.76948,6
0,3926.09857,295.00002,305.91829,200.12496,183.00003,3919.27468,3915.08633,3919.65636,85.07056,207.46566,6
0,3055.08265,293.00024,300.56281,180.86735,168.00043,3045.63704,3041.03223,3046.0888,68.44706,188.32153,5
0,4164.39095,294.00002,306.8876,209.38959,190.00003,4158.34294,4154.14745,4158.29737,94.7048,208.48261,5
0,3752.37858,292.00046,300.74574,195.7243,182.00074,3745.42454,3741.12029,3745.57152,78,198.517,5
0,3920.96276,293.00039,304.25811,206.02184,189.0006,3914.56524,3910.12289,3914.71123,87.66413,208.77739,3
0,3537.23918,294.00151,302.21846,195.93111,183.00243,3529.74702,3525.09589,3530.17082,74.67262,203.4232,3
0,3625.93877,294.00084,302.21846,194.06442,181.00137,3618.52967,3614.11635,3618.73196,75.76939,197.8004,3
0,3892.79655,276.00002,287.3604,195.15122,178.00003,3887.07769,3883.14022,3887.07769,86.53901,195.15122,3
0,4183.34376,294.00001,306.32009,206.73655,188.00002,4177.2327,4173.10783,4177.41463,91.08238,210.38061,3
0,3968.53688,289.00156,299.8683,196.06377,179.00252,3962.04556,3958.0854,3962.41505,84.11896,203.39371,3
0,3581.34402,272.00179,278.53905,183.10926,173.00281,3575.18811,3571.0315,3576.15785,61.84658,201.15666,3
0,4164.6312,252,265.31679,168.81351,147,4159.5983,4157.13904,4159.5983,89.69392,168.81351,0
0,4165.318,293,304.80322,205,187.00001,4159.20593,4155.14741,4159.16109,91,204.08822,0
0,3540.89551,290.00044,298.32868,194.99744,182.00069,3533.69,3529.08161,3534.21915,74,204.36242,0
0,4251.31709,296,309.38003,208.43224,188,4245.1649,4241.12839,4245.2093,95.85927,209.33466,0
0,4146.43606,294.00001,305.49141,207.33789,190.00002,4140.36182,4136.13975,4140.36182,89.69392,207.33789,0
0,3204.42397,218.00227,226.92069,161.77144,149.00331,3200.47028,3197.0757,3201.00125,66.7308,171.95639,0
0,4056.37967,290.00008,301.64383,201.85391,184.00013,4050.18172,4046.11122,4050.36542,88.25531,205.50669,0
0,4087.73103,296.00002,307.41666,204.59228,187.00002,4081.28632,4077.11037,4081.47155,88.25531,208.25465,0
0,4234.35851,296,309.0906,211.62467,192,4228.36138,4224.13683,4228.36138,95.27329,211.62467,0
0,4244.12594,293,305.08032,204.50183,186,4238.08353,4234.13651,4238.08353,91.5478,204.50183,0
0,3879.30922,296.00027,304.39612,201.89601,189.00042,3872.61475,3868.12422,3872.76232,77.47258,204.70711,0
0,4124.42057,293.00001,303.99013,207.46566,191.00002,4118.43138,4114.13235,4118.47787,87.46428,208.38666,0
0,4243.40641,297,310.04838,208.90668,189,4237.21725,4233.11351,4237.35212,94.24436,211.62467,0
0,4227.37566,296.001,308.80415,205.76686,186.00159,4221.09998,4217.11394,4221.23323,93.30059,208.48261,0
0,4053.74814,295.00067,306.72626,198.63534,180.00109,4047.00494,4043.0836,4047.36865,87.93179,205.9126,0
0,3791.26153,292.00024,303.56713,209.17218,192.00036,3784.87305,3780.16203,3784.82245,90.07774,208.25465,0
0,4117.58109,295,307.28,208.55695,190.00001,4111.39259,4107.14073,4111.39259,92.47702,208.55695,0
0,3356.55121,290.00172,290.62175,167.08381,166.00301,3348.11768,3344.04321,3348.89489,25.4951,181.99451,0
0,4226.89129,289.00102,302.10098,185.23769,163.00182,4220.14905,4217.11394,4220.26599,93.30059,187.88294,0
0,3977.87946,294,305.49141,203.67867,186.00001,3971.35808,3967.09881,3971.64361,87.59566,209.17218,0
0,4055.74284,295.00065,306.72626,198.63534,180.00107,4049.00296,4045.08356,4049.36649,87.93179,205.9126,0
0,4180.56324,297,308.92394,208.14658,190,4174.32629,4170.13057,4174.37193,91.18114,209.0598,0
